<<<<<<< HEAD
12493.0,2020-12-22,West
13761.0,2021-09-15,East
9710.0,2021-05-15,East
8934.0,2021-08-08,Central
18340.0,2020-12-22,Central
12345.0,2020-04-17,Mountain
2929.0,2021-04-10,West
3341.0,2021-02-14,East
4323.0,2021-08-13,East
=======
12493.0,2020-12-22,West
13761.0,2021-09-15,East
9710.0,2021-05-15,East
8934.0,2021-08-08,Central
18340.0,2020-12-22,Central
12345.0,2020-04-17,Mountain
2929.0,2021-04-10,West
3245.0,2021-02-14,Central
4324.0,2021-08-14,East
13761.0,2021-10-15,West
9710.0,2021-11-15,West
8934.0,2021-12-15,West
>>>>>>> 5a6e17f4964399d832df2eb0807c2136476544e3
